order_id,store_id,customer_zone,order_status,order_value,timestamp
ORD1001,DS101,Z01,ORDER_PLACED,850,2026-09-01 14:00:00
ORD1002,DS102,Z03,ORDER_PLACED,1250,2026-09-01 14:00:05
ORD1003,DS101,Z02,ORDER_ACCEPTED,620,2026-09-01 14:00:10
ORD1004,DS103,Z05,READY_FOR_PICKUP,980,2026-09-01 14:00:15
ORD1005,DS102,Z01,ORDER_PLACED,450,2026-09-01 14:00:20
ORD1006,DS104,Z04,ORDER_ACCEPTED,1750,2026-09-01 14:00:25
ORD1007,DS101,Z03,READY_FOR_PICKUP,720,2026-09-01 14:00:30
ORD1008,DS103,Z02,PICKED_UP,560,2026-09-01 14:00:35
ORD1009,DS102,Z05,ORDER_PLACED,2100,2026-09-01 14:00:40
ORD1010,DS104,Z01,ORDER_ACCEPTED,890,2026-09-01 14:00:45
ORD1011,DS101,Z04,READY_FOR_PICKUP,1340,2026-09-01 14:00:50
ORD1012,DS103,Z03,PICKED_UP,670,2026-09-01 14:00:55
ORD1013,DS102,Z02,ORDER_PLACED,1150,2026-09-01 14:01:00
ORD1014,DS104,Z05,ORDER_ACCEPTED,540,2026-09-01 14:01:05
ORD1015,DS101,Z01,DELIVERED,760,2026-09-01 14:01:10
